
 1.0000    1  0  1.5	
 0.8344    1  0  2.5	
 1.0000    0  0  2	
 0.4199    1  0  1.5	
 0.5660    1  1  2.5	
 0.3535    1  1  2.5	
 0.3768    1  1  1.5	
 1.0000    0  0  2.5	
 0.7534    1  1  1.5	
 0.6254    1  0  1.5	
 0.4087    1  1  2.5	
 0.9714    0  0  2	
 1.2949    1  1  2	
 0.6382    1  1  2	
 0.3905    1  1  2	
 0.5280    1  0  2.5	
 2.0000    0  0  2.5	
 0.6895    1  1  2.5	
 0.4424    1  1  2.5	
 0.8432    0  0  2	
 2.0000    1  0  2	
 2.0001    1  1  2.5	
 0.8373    0  0  2.5	
 1.2338    1  0  2.5	
 1.1640    1  1  2	
 2.0000    0  1  1.5	
 0.2817    1  0  2	
 0.4290    1  1  2.5	
 0.3696    1  0  2	
 0.4492    1  1  1.5	
 0.3717    1  0  2	
 0.2357    0  0  2.5	
 0.6141    1  1  2	
 0.4772    1  1  2	
 0.3630    1  0  2	
 0.3916    1  0  2	
 0.2418    0  1  2	
 0.8595    1  0  2.5	
 2.0000    0  1  1.5	
 0.9412    1  1  2.5	
 0.3509    1  0  1.5	
 2.0000    0  1  2.5	
 2.0000    1  0  2.5	
 0.0208    0  1  2.5  0	
 0.0160    1  0  2  0	
 0.0101    1  0  1.5  0	
 0.0136    1  1  2  0	
 0.0110    1  0  1.5  0	
 3.0000    1  1  1.5  0	
 3.0000    1  0  2  0	
 3.0000    0  0  2  0	
 0.0051    1  1  1.5  0	
 0.7464    1  0  2  0	
 0.4610    1  0  1.5  0	
 0.3641    1  1  2  0	
 0.0152    1  1  2  0	
 0.0097    0  1  1.5  0	
 0.0178    1  0  2.5  0	
 0.0255    1  1  2.5  1	
 0.0161    1  0  2  1	
 1.2766    1  0  1.5  1	
 2.0000    0  1  2  0	
 2.0000    1  1  2  0	
 2.0000    1  0  2  0	
 1.0550    0  1  2  0	
 2.0000    1  1  2  0	
 1.5041    1  1  2.5  0	
 2.0000    0  1  1.5  1	
 2.0000    0  0  2.5  0	
 0.4563    1  1  1.5  1	
 2.0000    0  0  2.5  1	
 1.0027    1  1  2  1	
 0.9366    1  0  1.5  1	
 0.7808    1  0  1.5  0	
 2.0000    0  1  2  0	
 2.0000    1  1  1.5  0	
 0.6846    1  0  1.5  0	
 0.6309    1  0  2  0	
 0.7455    1  1  2.5  0	
 0.5956    1  1  2  0	
 2.0000    0  0  2.5  0	
 1.0284    1  1  2.5  0	
 1.3348    1  0  1.5  0	
 0.8623    0  1  1.5  0	
 2.0000    1  0  2  0	
 2.0000    1  1  2  1	
 0.9009    1  0  2  1	
 0.8463    1  0  2  1	
 2.0000    0  1  2.5  1	
 2.0000    0  1  1.5  0	
 0.4597    1  0  2.5  0	
 0.6217    1  1  1.5  0	
 0.4765    1  0  1.5  0	
 2.0000    0  0  1.5  0	
 0.6971    1  0  2.5  0	
 2.0000    1  1  2  0	
 0.6962    1  1  1.5  0	
 0.0014    0  0  2  0	
 0.7605    1  0  1.5  0	
 0.6337    1  1  1.5  0	
 0.3316    1  1  2.5  0	
 0.4445    1  0  1.5  0	
 2.0000    0  1  2  0	
 2.0000    1  0  2  0	
 2.0000    1  1  1.5  0	
 2.0000    1  0  2.5  1	
 0.9202    0  0  1.5  1	
 2.0000    1  1  1.5  1	
 2.0000    1  1  1.5  1	
 0.0006    1  0  2  0	
 0.6743    1  1  2.5  0	
 2.0000    0  1  1.5  0	
 0.6192    1  0  2.5  0	
 0.7886    1  0  2  1	
 1.1363    0  1  2  1	
 2.0000    1  1  2  1	
 2.0000    1  0  2  1	
 2.0000    1  1  1.5  0	
 0.3406    0  0  1.5  0	
 2.0000    1  1  1.5  0	
 2.0000    1  0  2  0	
 0.0005    1  0  2  0	
 0.7274    1  0  2  0	
 0.8858    1  1  2  0	
 0.8971    0  1  1.5  0	
 0.7541    1  0  2  0	
 0.3323    1  1  2.5  0	
 1.1984    1  0  2.5  0	
 0.0003    1  0  1.5  0	
 1.2498    0  0  2  0	
 1.5513    1  1  2.5  0	
 2.0000    1  1  2.5  0	
 2.0000    0  0  1.5  0	
 2.0000    1  0  2.5  0	
 2.0000    1  1  2  0	
 2.0000    1  1  1.5  0	
 0.0010    1  0  1.5  0	
 1.7826    0  1  2.5  0	
 1.1820    1  0  2  0	
 2.0000    1  1  1.5  0	
 2.0000    1  0  1.5  0	
 2.0000    1  1  2.5  0	
 2.0000    1  0  2  0	
 2.0000    0  1  2.5  0	
 2.0000    1  0  1.5  1	
 2.0000    1  1  2  1	
 2.0001    0  0  1.5  1	
 2.0000    1  1  2  1	
 0.8140    1  1  1.5  0	
 1.1688    1  1  2.5  0	
 2.0000    1  0  2  0	
 2.0000    0  0  2  0	
 2.0000    0  0  2  0	
 2.0000    1  1  2.5  0	
 2.0000    1  1  2.5  0	
 2.0000    1  0  1.5  0	
 2.0000    1  1  2.5  1	
 2.0000    0  1  2  1	
 2.0000    1  0  1.5  1	
 2.0000    1  0  2  1	
 0.0010    0  0  2.5  0	
 2.0000    1  1  2.5  0	
 2.0000    1  1  2  0	
 2.0000    1  0  2  0	
 2.0000    1  1  2  0	
 2.0000    1  1  2.5  0	
 2.0000    1  0  1.5  0	
 2.0000    0  0  1.5  0	
 2.0000    1  1  1.5  1	
 2.0000    1  0  2.5  1	
 2.0000    0  1  1.5  1	
 2.0000    1  0  1.5  1	
 0.0040    0  1  2.5  0	
 1.0901    1  0  2  0	
 2.0000    1  1  2  0	
 2.0000    1  0  1.5  0	
 2.0001    1  1  2.5  0	
 2.0000    0  0  1.5  0	
 2.0000    1  1  1.5  0	
 2.0000    1  0  1.5  0	
 2.0000    1  1  1.5  1	
 2.0000    0  1  2  1	
 2.0000    1  0  1.5  1	
 2.0000    1  0  2.5  1	
 0.0009    1  0  1.5  0	
 0.4550    1  0  2  0	
 2.0000    0  1  1.5  0	
 0.5971    1  1  1.5  0	
 0.6697    1  1  2.5  1	
 0.6604    1  0  2  1	
 0.7659    0  1  2.5  1	
 0.6165    1  0  1.5  1	
 2.0000    0  1  2.5  0	
 2.0000    1  1  1.5  0	
 2.0000    1  0  2.5  0	
 1.2159    1  1  1.5  1	
 0.9076    1  0  2  1	
 2.0000    0  0  1.5  1	
 2.0000    1  1  2.5  1	
 0.3646    0  1  2.5  0	
 2.0000    1  0  1.5  0	
 1.2312    1  0  1.5  0	
 2.0000    1  1  1.5  0	
 2.0000    1  0  2  0	
 2.0000    1  1  2.5  0	
 2.0000    0  0  1.5  0	
 2.0000    1  1  2.5  0	
 2.0000    0  0  1.5  0	
 0.6096    1  1  1.5  0	
 0.3731    1  0  1.5  0	
 0.2819    1  1  2.5  0	
 1.0988    1  0  1.5  0	
 0.4639    0  1  2.5  0	
 0.3040    1  1  2  0	
 0.6779    1  0  1.5  0	
 0.4874    1  1  2  1	
 0.5117    1  0  2  1	
 0.2572    1  0  2.5  1	
 2.0000    0  1  2  1	
